Id,Id2,Geography,Total,Less_than_High_School_Diploma,Percent:Total:Less than High School Diploma,High_School_Diploma,"Percent:Total:High School Diploma, GED, or equivalent",Some_College,Percent:Total:Some College,Associate_degree,Percent:Total: Associate's degree,Bachelors_degree,Percent:Total:Bachelor's degree,Masters_degree,Percent:Total:Master's degree,Professional_degree,Percent:Total:Professional school degree,Doctorate_degree,Percent:Total:Doctorate degree
0400000US41,41,Oregon,2971396.00,252602.00,8.50,668083.00,22.48,739245.00,24.88,270372.00,9.10,644813.00,21.70,275519.00,9.27,68616.00,2.31,52146.00,1.75
1600000US4104000,4100504000,"Barlow city, Oregon",161.00,2.00,1.24,22.00,13.66,109.00,67.70,7.00,4.35,15.00,9.32,0.00,0.00,3.00,1.86,3.00,1.86
1600000US4105250,4100505250,"Beavercreek CDP, Oregon",3233.00,205.00,6.34,697.00,21.56,936.00,28.95,431.00,13.33,725.00,22.42,179.00,5.54,24.00,0.74,36.00,1.11
1600000US4107550,4100507550,"Boring CDP, Oregon",1422.00,53.00,3.73,574.00,40.37,334.00,23.49,168.00,11.81,193.00,13.57,84.00,5.91,16.00,1.13,0.00,0.00
1600000US4110750,4100510750,"Canby city, Oregon",12652.00,1393.00,11.01,3080.00,24.34,3460.00,27.35,1093.00,8.64,2367.00,18.71,924.00,7.30,137.00,1.08,198.00,1.56
1600000US4117800,4100517800,"Damascus CDP, Oregon",7640.00,263.00,3.44,2273.00,29.75,1860.00,24.35,1031.00,13.49,1358.00,17.77,609.00,7.97,128.00,1.68,118.00,1.54
1600000US4123800,4100523800,"Estacada city, Oregon",2810.00,206.00,7.33,1042.00,37.08,671.00,23.88,412.00,14.66,388.00,13.81,27.00,0.96,47.00,1.67,17.00,0.60
1600000US4129000,4100529000,"Gladstone city, Oregon",8761.00,700.00,7.99,2305.00,26.31,2689.00,30.69,784.00,8.95,1822.00,20.80,393.00,4.49,60.00,0.68,8.00,0.09
1600000US4130250,4100530250,"Government Camp CDP, Oregon",84.00,0.00,0.00,24.00,28.57,28.00,33.33,5.00,5.95,0.00,0.00,0.00,0.00,27.00,32.14,0.00,0.00
1600000US4132050,4100532050,"Happy Valley city, Oregon",15112.00,632.00,4.18,2175.00,14.39,3095.00,20.48,1653.00,10.94,4535.00,30.01,1867.00,12.35,769.00,5.09,386.00,2.55
1600000US4137400,4100537400,"Jennings Lodge CDP, Oregon",5984.00,490.00,8.19,1453.00,24.28,1564.00,26.14,626.00,10.46,1201.00,20.07,351.00,5.87,203.00,3.39,96.00,1.60
1600000US4137650,4100537650,"Johnson City city, Oregon",369.00,50.00,13.55,129.00,34.96,103.00,27.91,42.00,11.38,33.00,8.94,12.00,3.25,0.00,0.00,0.00,0.00
1600000US4140550,4100540550,"Lake Oswego city, Oregon",29355.00,400.00,1.36,1842.00,6.27,4056.00,13.82,1699.00,5.79,11648.00,39.68,6073.00,20.69,2180.00,7.43,1457.00,4.96
1600000US4148650,4100548650,"Milwaukie city, Oregon",15565.00,774.00,4.97,3346.00,21.50,4013.00,25.78,1405.00,9.03,4029.00,25.88,1414.00,9.08,302.00,1.94,282.00,1.81
1600000US4149450,4100549450,"Molalla city, Oregon",6692.00,427.00,6.38,1955.00,29.21,2359.00,35.25,872.00,13.03,825.00,12.33,239.00,3.57,0.00,0.00,15.00,0.22
1600000US4150236,4100550235,"Mount Hood Villages CDP, Oregon",3347.00,66.00,1.97,770.00,23.01,1064.00,31.79,369.00,11.02,658.00,19.66,370.00,11.05,40.00,1.20,10.00,0.30
1600000US4150450,4100550450,"Mulino CDP, Oregon",1713.00,69.00,4.03,504.00,29.42,440.00,25.69,237.00,13.84,295.00,17.22,90.00,5.25,31.00,1.81,47.00,2.74
1600000US4153900,4100553900,"Oak Grove CDP, Oregon",12978.00,1091.00,8.41,3241.00,24.97,3194.00,24.61,1355.00,10.44,2542.00,19.59,1257.00,9.69,136.00,1.05,162.00,1.25
1600000US4154325,4100554325,"Oatfield CDP, Oregon",9688.00,583.00,6.02,2232.00,23.04,2514.00,25.95,872.00,9.00,2287.00,23.61,906.00,9.35,151.00,1.56,143.00,1.48
1600000US4155200,4100555200,"Oregon City city, Oregon",25733.00,1517.00,5.90,6875.00,26.72,6783.00,26.36,2665.00,10.36,5962.00,23.17,1375.00,5.34,283.00,1.10,273.00,1.06
1600000US4159000,4105159000,"Portland city, Oregon",486100.00,32803.00,6.75,73370.00,15.09,94129.00,19.36,33393.00,6.87,151740.00,31.22,67780.00,13.94,21101.00,4.34,11784.00,2.42
1600000US4161550,4100561550,"Rhododendron CDP, Oregon",173.00,0.00,0.00,68.00,39.31,39.00,22.54,23.00,13.29,43.00,24.86,0.00,0.00,0.00,0.00,0.00,0.00
1600000US4162250,4100562250,"Rivergrove city, Oregon",390.00,11.00,2.82,36.00,9.23,66.00,16.92,18.00,4.62,129.00,33.08,87.00,22.31,25.00,6.41,18.00,4.62
1600000US4165250,4100565250,"Sandy city, Oregon",8044.00,455.00,5.66,2054.00,25.53,2588.00,32.17,1116.00,13.87,1317.00,16.37,400.00,4.97,40.00,0.50,74.00,0.92
1600000US4169800,4100569800,"Stafford CDP, Oregon",1389.00,15.00,1.08,137.00,9.86,238.00,17.13,22.00,1.58,616.00,44.35,189.00,13.61,123.00,8.86,49.00,3.53
1600000US4174950,4106774950,"Tualatin city, Oregon",18946.00,1105.00,5.83,3227.00,17.03,4549.00,24.01,1486.00,7.84,5345.00,28.21,2277.00,12.02,523.00,2.76,434.00,2.29
